                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9462,                 2.1248,                 2.1958,                0.48414,                  0.288,                0.29251,                 0.1425,                 1.8946,                 2.1479,                 2.2006,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9793,                 2.1175,                 2.1721,                0.51067,                   0.36,                0.34945,                0.19314,                 1.8388,                  1.959,                 2.1341,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.9194,                 2.0564,                 2.1369,                0.43913,                0.36955,                0.35588,                0.19299,                  1.758,                 1.8654,                 2.1339,               0.001307,               0.001307,               0.001307
                     38,                 1.9304,                 2.0504,                 2.1337,                0.49113,                  0.352,                0.34607,                0.17097,                 1.8277,                 1.9114,                 2.1293,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.8913,                 2.0543,                 2.0939,                0.51767,                  0.392,                0.40515,                0.22444,                 1.8319,                 1.8833,                 2.1458,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9437,                 2.0516,                 2.1801,                0.56916,                  0.344,                0.38514,                0.17966,                 1.9877,                  1.952,                 2.2726,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.8819,                   2.02,                 2.0814,                0.46161,                   0.44,                0.36417,                0.16156,                 2.0146,                 1.9898,                 2.2366,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8946,                 2.0242,                 2.0996,                0.56451,                  0.328,                0.42255,                0.24568,                 1.8266,                 1.8105,                 2.0884,               0.001208,               0.001208,               0.001208
                     43,                 1.8782,                 1.9667,                 2.0928,                0.54399,                    0.4,                0.41245,                0.22559,                 1.7368,                 1.7896,                 2.0499,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.9025,                 1.9947,                 2.0784,                0.55465,                  0.344,                0.39953,                 0.2043,                 1.8722,                 1.8636,                 2.1062,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.8439,                 1.9569,                 2.0606,                0.57998,                   0.36,                0.41267,                0.22662,                 1.8288,                 1.8028,                 2.0759,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8338,                 1.9826,                 2.0484,                0.46569,                  0.384,                0.38219,                0.20118,                 1.8158,                 1.8825,                  2.069,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.8218,                 1.9051,                 2.0144,                0.67386,                  0.376,                0.43586,                0.22943,                 1.7977,                 1.7625,                 2.0986,               0.001109,               0.001109,               0.001109
                     48,                 1.7768,                 1.8944,                 1.9843,                0.55721,                0.36244,                0.42564,                0.23642,                 1.8525,                 1.7962,                 2.0978,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8107,                 1.8887,                 1.9942,                0.59571,                    0.4,                0.43226,                  0.226,                 1.7742,                 1.7711,                 2.0925,              0.0010694,              0.0010694,              0.0010694
                     50,                   1.85,                 1.9235,                 2.0532,                 0.6185,                0.38911,                0.44477,                0.25106,                 1.7408,                  1.648,                 2.0157,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.7864,                 1.8611,                 1.9777,                0.50878,                0.40603,                0.42025,                0.22207,                  1.742,                 1.7987,                 2.0335,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.7665,                 1.8154,                 1.9511,                0.54534,                    0.4,                0.41247,                0.22736,                 1.6801,                 1.6776,                 1.9266,                0.00101,                0.00101,                0.00101
                     53,                 1.7457,                 1.8544,                 1.9802,                0.63431,                  0.352,                0.45527,                0.25913,                 1.7111,                 1.6487,                 1.9716,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7678,                 1.8303,                 1.9807,                0.59847,                  0.432,                0.44613,                 0.2582,                  1.618,                  1.674,                 1.9153,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7497,                 1.8185,                 1.9533,                0.53973,                  0.408,                0.43819,                 0.2409,                 1.7521,                 1.8115,                 1.9644,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7312,                 1.7828,                 1.9251,                0.69739,                  0.376,                0.49472,                0.26796,                 1.7155,                 1.6773,                 1.9663,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7021,                 1.7755,                 1.9324,                0.64997,                  0.376,                 0.4614,                0.28151,                 1.5648,                 1.5727,                 1.8651,               0.000911,               0.000911,               0.000911
                     58,                 1.6851,                 1.7595,                 1.9299,                 0.7695,                  0.456,                0.52793,                 0.2825,                 1.6252,                 1.5218,                 1.8947,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.7219,                 1.7434,                 1.9288,                 0.6716,                  0.408,                0.48993,                 0.2878,                 1.5733,                 1.5594,                 1.8566,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.695,                 1.7706,                 1.9091,                0.53443,                  0.456,                0.45877,                0.24802,                 1.6711,                 1.6644,                 1.9452,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6575,                 1.7542,                 1.9022,                0.57427,                  0.376,                0.45558,                0.27223,                  1.612,                 1.6055,                 1.8755,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6732,                  1.745,                 1.8878,                0.57864,                  0.472,                0.50253,                0.27622,                 1.6926,                 1.5414,                 1.9122,               0.000812,               0.000812,               0.000812
                     63,                 1.6538,                  1.767,                 1.9014,                0.72397,                  0.416,                0.49937,                0.28194,                 1.6212,                 1.5652,                 1.8907,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6758,                 1.7259,                  1.882,                0.73812,                  0.456,                  0.516,                0.29659,                 1.5429,                 1.5361,                 1.8195,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6607,                 1.7183,                 1.8604,                0.72274,                  0.408,                  0.504,                0.29585,                 1.5718,                 1.4854,                 1.8521,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6664,                 1.7089,                 1.8896,                0.65864,                  0.464,                0.51301,                0.29525,                 1.6006,                 1.5223,                 1.8583,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6247,                 1.6829,                 1.8749,                 0.6199,                  0.432,                0.50657,                0.27016,                  1.697,                 1.6012,                 1.9441,               0.000713,               0.000713,               0.000713
                     68,                 1.6313,                 1.6829,                 1.8605,                0.64286,                    0.4,                0.49983,                0.28219,                 1.5782,                 1.4852,                 1.8622,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.6518,                 1.7285,                 1.8763,                0.55429,                  0.472,                 0.5007,                 0.2951,                 1.5071,                 1.6018,                 1.8145,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6787,                 1.7348,                 1.9031,                0.58466,                0.46174,                0.50761,                0.29638,                 1.5612,                 1.5314,                 1.8147,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6133,                 1.6531,                 1.8737,                0.68767,                  0.408,                0.50788,                0.30989,                 1.4264,                 1.4777,                 1.7404,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6214,                 1.6735,                 1.8472,                0.74871,                0.42907,                0.51131,                0.30092,                 1.5389,                 1.5185,                 1.8031,               0.000614,               0.000614,               0.000614
                     73,                  1.613,                 1.6817,                 1.8343,                0.69224,                  0.448,                0.52205,                0.28465,                 1.5927,                 1.4697,                 1.8443,              0.0005942,              0.0005942,              0.0005942
