                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3824,                 1.3791,                 1.6347,                 0.7065,                0.52933,                0.59182,                0.37422,                 1.4004,                 1.3309,                 1.6568,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3918,                 1.4063,                 1.6537,                0.70518,                0.51372,                0.57561,                0.35644,                 1.4042,                 1.3929,                 1.6546,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3961,                 1.3807,                 1.6476,                0.72163,                0.53238,                0.60829,                0.38714,                 1.3622,                 1.2811,                  1.622,               0.001307,               0.001307,               0.001307
                     38,                 1.3879,                 1.3561,                  1.631,                0.68406,                0.53849,                0.59908,                0.38564,                 1.3691,                  1.284,                 1.6133,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3774,                 1.3742,                 1.6391,                0.69708,                0.53948,                0.60525,                0.38631,                 1.3512,                 1.2799,                 1.6159,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3646,                 1.3342,                 1.6188,                0.71214,                0.53911,                0.60262,                0.37867,                 1.3698,                 1.2886,                 1.6081,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.337,                 1.3247,                 1.6069,                0.71289,                0.55303,                0.62159,                0.40421,                 1.3286,                 1.2462,                 1.5749,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3313,                 1.3096,                 1.5913,                0.71417,                0.54934,                0.62187,                 0.4049,                 1.3154,                 1.2619,                 1.5718,               0.001208,               0.001208,               0.001208
                     43,                 1.3471,                 1.3149,                  1.598,                0.72391,                0.56593,                0.63945,                0.41327,                 1.3117,                 1.1929,                 1.5688,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.355,                 1.3153,                 1.6078,                0.72355,                0.55626,                0.62597,                0.40132,                 1.3367,                  1.223,                 1.5916,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3461,                 1.3196,                  1.605,                0.71445,                 0.5518,                 0.6232,                0.40178,                 1.3201,                 1.2366,                 1.5646,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3366,                 1.3082,                 1.5856,                0.73893,                0.56143,                0.63791,                0.41249,                 1.2843,                 1.2353,                 1.5457,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3095,                 1.2667,                 1.5612,                0.72966,                0.57254,                 0.6451,                0.42194,                  1.285,                 1.1886,                 1.5422,               0.001109,               0.001109,               0.001109
                     48,                 1.3409,                 1.2922,                 1.5976,                0.70909,                0.58436,                0.64255,                0.41925,                 1.2994,                  1.173,                 1.5474,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.312,                 1.2579,                 1.5696,                0.72521,                0.57187,                0.64491,                0.42093,                  1.283,                 1.1606,                 1.5401,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2936,                 1.2451,                 1.5596,                0.73282,                 0.5864,                0.65532,                0.43438,                 1.2697,                 1.1478,                 1.5313,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3125,                 1.2514,                 1.5582,                 0.7444,                0.58022,                0.65666,                 0.4352,                 1.2569,                 1.1257,                  1.516,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2948,                 1.2316,                  1.558,                0.72148,                0.59033,                0.65356,                0.43346,                 1.2627,                 1.1328,                 1.5277,                0.00101,                0.00101,                0.00101
                     53,                 1.2814,                 1.2218,                 1.5491,                0.73345,                 0.5927,                0.66219,                 0.4393,                 1.2499,                   1.12,                 1.5105,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2891,                 1.2319,                 1.5639,                0.75182,                0.59111,                0.66155,                0.43868,                 1.2454,                  1.106,                 1.5057,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2646,                 1.2089,                 1.5402,                0.74868,                0.59193,                0.66225,                0.44241,                  1.244,                 1.1004,                 1.5089,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2665,                 1.2013,                 1.5334,                0.73893,                0.60176,                0.66635,                0.44359,                 1.2349,                 1.0839,                 1.4933,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2595,                 1.1965,                 1.5333,                0.74338,                0.59603,                 0.6661,                0.44681,                 1.2348,                 1.1021,                  1.497,               0.000911,               0.000911,               0.000911
                     58,                 1.2619,                 1.1929,                 1.5347,                0.74032,                0.60893,                0.67255,                0.44581,                 1.2459,                 1.0855,                 1.4987,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2499,                 1.1868,                 1.5192,                0.73735,                0.61507,                0.67826,                0.45733,                 1.2158,                 1.0739,                 1.4737,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2358,                 1.1705,                 1.5144,                0.74016,                0.61764,                0.68587,                 0.4586,                 1.2102,                 1.0809,                 1.4687,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2348,                 1.1831,                  1.507,                0.74654,                0.60975,                 0.6848,                0.46242,                 1.2045,                  1.054,                 1.4619,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2472,                 1.1737,                 1.5193,                0.74829,                0.61937,                0.69316,                 0.4676,                 1.2026,                  1.038,                 1.4617,               0.000812,               0.000812,               0.000812
                     63,                  1.228,                 1.1529,                 1.5101,                0.75952,                0.61179,                0.69045,                0.46801,                 1.1988,                 1.0385,                 1.4591,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2402,                 1.1818,                 1.5079,                0.74645,                0.61545,                0.68118,                 0.4621,                 1.2146,                  1.059,                 1.4657,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.217,                 1.1456,                 1.4962,                0.76425,                0.61138,                 0.6914,                0.46647,                 1.1933,                 1.0346,                 1.4609,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2322,                 1.1447,                 1.5056,                0.75346,                0.62762,                 0.7012,                0.47713,                 1.1825,                 1.0099,                 1.4458,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2104,                  1.132,                  1.499,                0.76326,                0.63022,                0.70355,                0.47869,                 1.1744,                 1.0294,                 1.4399,               0.000713,               0.000713,               0.000713
                     68,                 1.1922,                  1.117,                 1.4825,                0.76353,                0.63005,                0.70275,                0.48031,                 1.1783,                 1.0024,                 1.4376,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1921,                 1.1199,                 1.4793,                 0.7499,                 0.6337,                0.70091,                 0.4755,                 1.1742,                 1.0177,                 1.4409,              0.0006734,              0.0006734,              0.0006734
                     70,                   1.21,                 1.1292,                 1.4967,                0.77397,                0.62188,                 0.7071,                  0.488,                 1.1532,                0.99192,                 1.4243,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2045,                 1.1191,                 1.4875,                0.77581,                0.62674,                0.70752,                0.48553,                 1.1653,                0.99161,                  1.428,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1945,                 1.0979,                 1.4774,                0.76858,                0.62969,                 0.7098,                0.48556,                 1.1557,                0.98536,                 1.4174,               0.000614,               0.000614,               0.000614
                     73,                 1.2172,                 1.1023,                 1.4984,                0.76183,                0.63575,                0.70921,                0.48609,                 1.1607,                0.99849,                 1.4233,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2072,                 1.1191,                 1.4837,                0.76442,                0.64181,                0.71446,                0.49195,                 1.1482,                0.98032,                  1.413,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1742,                 1.0915,                 1.4724,                0.77952,                0.63411,                 0.7156,                0.49648,                 1.1395,                0.97602,                 1.3999,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1808,                 1.0911,                 1.4658,                0.77065,                0.63572,                0.71679,                0.49819,                 1.1398,                0.96972,                  1.407,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1823,                 1.0742,                 1.4543,                0.77152,                0.65377,                0.72145,                0.49985,                 1.1414,                0.94749,                 1.4088,               0.000515,               0.000515,               0.000515
                     78,                 1.1891,                  1.076,                 1.4678,                0.78768,                0.64476,                0.72557,                0.50399,                 1.1284,                0.94731,                 1.3901,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1735,                 1.0767,                   1.45,                0.78361,                0.64728,                0.72539,                 0.5075,                   1.12,                0.92385,                 1.3871,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1679,                 1.0644,                 1.4493,                0.78471,                0.64929,                0.72844,                0.50665,                 1.1272,                 0.9365,                 1.3952,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1602,                 1.0424,                 1.4519,                0.77196,                 0.6507,                0.72821,                0.51054,                 1.1207,                0.92082,                 1.3876,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1618,                 1.0618,                 1.4439,                0.77966,                0.64988,                0.72692,                 0.5092,                 1.1126,                0.93816,                 1.3814,               0.000416,               0.000416,               0.000416
                     83,                 1.1559,                 1.0603,                 1.4486,                0.78968,                0.65438,                0.73206,                0.51334,                 1.1082,                 0.9226,                 1.3829,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1595,                 1.0501,                  1.448,                0.78964,                0.65991,                0.73673,                0.51622,                 1.1026,                0.91254,                 1.3753,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1421,                 1.0511,                 1.4375,                0.81232,                0.63698,                0.73447,                 0.5148,                 1.0982,                0.90987,                 1.3692,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1489,                 1.0485,                 1.4488,                0.78137,                0.65848,                0.73668,                0.52148,                 1.0953,                0.90524,                 1.3688,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1361,                 1.0169,                 1.4311,                0.78702,                0.66462,                0.74344,                0.52287,                  1.091,                0.90174,                 1.3639,               0.000317,               0.000317,               0.000317
                     88,                 1.1441,                 1.0259,                 1.4408,                0.79243,                0.65659,                0.74011,                0.52229,                 1.0899,                 0.8971,                 1.3623,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1236,                  1.025,                 1.4219,                0.80358,                0.65622,                0.74531,                0.52626,                   1.09,                0.88485,                 1.3588,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1477,                 1.0235,                 1.4399,                0.78835,                0.66961,                0.74645,                0.52803,                 1.0833,                0.88087,                 1.3537,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1513,                 1.0301,                 1.4335,                0.79901,                 0.6601,                0.74391,                0.52051,                 1.0953,                0.90292,                 1.3619,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1369,                0.98907,                 1.4157,                0.79591,                0.66673,                0.74676,                0.52651,                 1.0898,                0.88591,                 1.3574,               0.000218,               0.000218,               0.000218
                     93,                 1.1265,                0.96752,                 1.4155,                0.80038,                0.66278,                0.74685,                0.52582,                 1.0793,                0.88014,                 1.3503,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1251,                0.96666,                 1.4113,                0.79914,                0.66339,                 0.7515,                0.53308,                  1.068,                0.86641,                 1.3437,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.1112,                0.94948,                 1.4046,                0.80169,                0.66963,                0.75368,                0.53577,                 1.0628,                 0.8632,                 1.3393,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.1003,                0.94068,                 1.3993,                 0.8098,                0.66513,                 0.7568,                0.53925,                 1.0597,                0.85031,                 1.3387,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1018,                0.94268,                 1.4001,                0.80222,                0.67138,                0.75984,                0.54202,                  1.054,                0.84639,                 1.3345,               0.000119,               0.000119,               0.000119
                     98,                 1.0947,                0.92649,                 1.3919,                0.80187,                0.67588,                  0.759,                0.54195,                 1.0534,                0.85042,                 1.3324,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0987,                0.92508,                 1.3824,                0.81405,                0.67049,                0.76223,                0.54747,                 1.0474,                 0.8372,                 1.3265,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0919,                0.92864,                 1.3945,                0.80387,                0.67854,                0.76271,                0.54798,                 1.0438,                0.83709,                 1.3231,               5.96e-05,               5.96e-05,               5.96e-05
